Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1789523007456279,00000288,false,Rx,0,8,04,00,24,BA,3D,96,0D,00,
-1789523007455341,00000288,false,Rx,0,7,04,01,19,5E,C3,F2,2E,00,
-1789523007454274,00000288,false,Rx,0,8,04,02,37,04,2A,2F,0E,00,
-1789523007453378,00000288,false,Rx,0,7,04,03,D6,E7,71,15,2E,00,
-1789523007452525,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523007435245,00000280,false,Rx,0,8,14,BB,5C,5D,01,89,9C,00,
-1789523007434434,00000280,false,Rx,0,5,10,5C,5D,39,03,00,00,00,
-1789523007363353,00000102,false,Rx,0,8,00,00,64,66,60,64,7B,00,
-1789523007362371,00000104,false,Rx,0,8,04,7F,00,7F,00,29,10,00,
-1789523007361390,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523007357422,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
-1789523007356526,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523007334382,00000280,false,Rx,0,8,14,BB,5C,5D,01,89,9D,00,
-1789523007333230,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523007263497,00000102,false,Rx,0,8,00,00,64,66,60,63,7C,00,
-1789523007262516,00000104,false,Rx,0,8,04,7F,00,7F,00,2A,0F,00,
-1789523007261492,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523007257439,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
-1789523007256500,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
-1789523007233588,00000280,false,Rx,0,8,14,BB,5C,5D,01,88,9C,03,
-1789523007232436,00000280,false,Rx,0,8,04,4E,F8,00,00,00,00,00,
-1789523007163360,00000102,false,Rx,0,8,00,00,64,66,60,63,7B,00,
-1789523007162421,00000104,false,Rx,0,8,04,7F,00,7F,00,2B,0F,00,
-1789523007161397,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1789523007157430,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
-1789523007156491,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
