Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
373384185,00000352,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373385203,00000322,false,Rx,0,3,1E,02,01,00,00,00,00,00,
373386231,00000352,false,Rx,0,3,1E,01,00,00,00,00,00,00,
373386233,00000352,false,Rx,0,3,1E,02,00,00,00,00,00,00,
373387232,00000352,false,Rx,0,3,1E,03,00,00,00,00,00,00,
373388258,00000352,false,Rx,0,8,1F,00,01,14,00,00,0E,00,
373388259,00000352,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373389242,00000352,false,Rx,0,3,1E,01,01,00,00,00,00,00,
373390285,000000D2,false,Rx,0,8,78,80,C8,80,9C,85,04,20,
373391302,00000352,false,Rx,0,3,1E,02,01,00,00,00,00,00,
373393833,00000006,false,Rx,0,8,21,52,45,32,42,31,37,41,
373395294,00000006,false,Rx,0,8,22,33,30,30,30,33,32,36,
373396469,00000006,false,Rx,0,2,0E,00,00,00,00,00,00,00,
373400567,00000094,false,Rx,0,8,C1,18,2B,19,A0,63,02,23,
373401571,00000312,false,Rx,0,3,1E,03,00,00,00,00,00,00,
373402602,00000312,false,Rx,0,4,0E,00,00,82,00,00,00,00,
373407326,0000009C,false,Rx,0,8,BF,18,07,19,7A,63,02,21,
373408309,0000031A,false,Rx,0,3,1E,03,00,00,00,00,00,00,
373417314,000000A4,false,Rx,0,8,B6,18,0D,19,7B,63,02,21,
373418376,00000322,false,Rx,0,3,1E,03,00,00,00,00,00,00,
373419405,00000322,false,Rx,0,4,0E,00,00,82,00,00,00,00,
373420381,0000035A,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373420382,0000035A,false,Rx,0,3,1E,01,00,00,00,00,00,00,
373421383,0000035A,false,Rx,0,3,1E,02,00,00,00,00,00,00,
373421384,0000035A,false,Rx,0,3,1E,03,00,00,00,00,00,00,
373422420,0000035A,false,Rx,0,8,1F,00,01,14,00,00,0E,00,
373423408,000000D4,false,Rx,0,8,B7,18,2A,19,AC,63,02,23,
373424417,00000352,false,Rx,0,3,1E,03,00,00,00,00,00,00,
373424419,0000035A,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373425433,00000352,false,Rx,0,4,0E,00,00,82,00,00,00,00,
373426445,000000DA,false,Rx,0,8,78,80,C7,80,9A,85,04,70,
373427454,0000035A,false,Rx,0,3,1E,01,01,00,00,00,00,00,
373428454,00000332,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373428456,00000332,false,Rx,0,3,1E,01,00,00,00,00,00,00,
373429477,00000332,false,Rx,0,3,1E,02,00,00,00,00,00,00,
373430469,00000332,false,Rx,0,3,1E,03,00,00,00,00,00,00,
373431498,000000D2,false,Rx,0,8,78,80,C8,80,9C,85,04,20,
373431499,00000332,false,Rx,0,8,1F,00,01,14,00,00,0E,00,
373432491,00000332,false,Rx,0,3,1E,00,00,00,00,00,00,00,
373433515,00000332,false,Rx,0,3,1E,01,01,00,00,00,00,00,
373434518,000000B2,false,Rx,0,8,78,80,A0,80,9E,85,04,00,
