Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
11480999,00000288,false,Rx,0,7,04,03,59,28,0A,CE,46,00,
11481869,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
11502738,000000B2,false,Rx,0,8,78,80,A0,80,9E,85,04,00,
11506987,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
11507987,00000104,false,Rx,0,8,00,7F,00,19,00,29,0E,04,
11509003,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
11519935,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
11520979,00000280,false,Rx,0,5,10,64,65,31,03,00,00,00,
11535566,000000B4,false,Rx,0,8,8C,18,EA,18,AC,62,02,20,
11536473,000000AA,false,Rx,0,8,78,80,A0,80,9C,85,04,00,
11576757,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
11577844,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
11607040,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
11608070,00000104,false,Rx,0,8,00,7F,00,19,00,2A,0D,04,
11609198,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
11621320,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
11622871,00000280,false,Rx,0,8,04,0F,F8,00,00,00,00,00,
11624313,00000006,false,Rx,0,4,25,00,02,01,00,00,00,00,
11667913,0000010A,false,Rx,0,5,00,00,64,C0,00,00,00,00,
11668879,0000010C,false,Rx,0,3,00,00,00,00,00,00,00,00,
11676725,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
11677744,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
11707157,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
11708148,00000104,false,Rx,0,8,00,7F,00,18,00,2B,0E,04,
11709186,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
11721593,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
11722966,00000280,false,Rx,0,8,04,0F,F8,00,00,00,00,00,
11776724,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
11777694,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
11807044,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
11808024,00000104,false,Rx,0,8,00,7F,00,19,00,2C,0D,04,
11809045,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
11810044,0000008A,false,Rx,0,8,78,80,A0,80,9D,85,04,00,
11811170,000000CA,false,Rx,0,8,78,80,C8,80,9F,85,04,20,
11812467,000000A2,false,Rx,0,8,78,80,A0,80,9D,85,04,00,
11813483,0000009A,false,Rx,0,8,78,80,A0,80,9C,85,04,00,
11815148,000000DA,false,Rx,0,8,78,80,C7,80,9A,85,04,70,
11816132,00000092,false,Rx,0,8,00,80,C8,80,FC,84,04,10,
11817209,000000D2,false,Rx,0,8,78,80,A0,80,9C,85,04,00,
11819652,00000380,false,Rx,0,6,09,74,19,29,1B,02,00,00,
11822874,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
11824218,00000280,false,Rx,0,8,04,0F,F8,00,00,00,00,00,
11842495,0000008C,false,Rx,0,8,D5,18,0C,19,97,63,02,20,
11844018,000000CC,false,Rx,0,8,B4,18,EB,18,53,63,02,20,
11845289,000000A4,false,Rx,0,8,9E,18,DE,18,E9,62,02,21,
11846309,0000009C,false,Rx,0,8,A2,18,DB,18,E8,62,02,23,
11848058,000000DC,false,Rx,0,8,BA,18,1A,19,53,63,02,23,
11849051,00000094,false,Rx,0,8,9B,18,EB,18,F6,62,02,23,
11850045,000000D4,false,Rx,0,8,8F,18,EC,18,04,63,02,23,
11876667,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
11877725,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
11890492,000000BA,false,Rx,0,8,78,80,A0,80,9D,85,04,00,
11905329,000000B2,false,Rx,0,8,78,80,A0,80,9E,85,04,00,
11907094,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
11908117,00000104,false,Rx,0,8,00,7F,00,19,00,2D,0E,04,
11909116,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
11910092,000000C2,false,Rx,0,8,78,80,C8,80,9E,85,04,40,
11923130,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
11924171,000000BC,false,Rx,0,8,A1,18,EB,18,0F,63,02,21,
11925150,00000280,false,Rx,0,8,04,0F,F8,00,00,00,00,00,
11938273,000000B4,false,Rx,0,8,8C,18,EA,18,AC,62,02,20,
11942809,000000C4,false,Rx,0,8,79,18,EF,18,C5,62,02,23,
11976713,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
11977717,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
11998318,00000180,false,Rx,0,1,01,00,00,00,00,00,00,00,
12003087,000000AA,false,Rx,0,8,78,80,C7,80,9C,85,04,40,
12007012,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
12007964,00000104,false,Rx,0,8,00,7F,00,19,00,2E,0D,04,
12008963,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
12024423,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
12025850,00000280,false,Rx,0,8,04,0F,F8,00,00,00,00,00,
12035974,000000AC,false,Rx,0,8,90,18,E4,18,D2,62,02,23,
12076731,00000288,false,Rx,0,5,06,FF,FE,FF,FF,00,00,00,
12077690,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
12107058,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
12108074,00000104,false,Rx,0,8,00,7F,00,18,00,2F,0E,04,
12109100,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
12124749,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
12125811,00000280,false,Rx,0,5,06,E1,06,12,1B,00,00,00,
12176690,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
12177779,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
12207023,00000102,false,Rx,0,8,00,00,64,72,79,72,6F,13,
12208143,00000104,false,Rx,0,8,00,7F,00,19,00,20,0E,04,
12209134,0000010E,false,Rx,0,8,00,00,00,00,00,00,00,00,
12221093,00000380,false,Rx,0,7,02,00,14,00,00,00,23,00,
12226168,00000280,false,Rx,0,8,14,CB,65,65,CB,88,52,01,
12227580,00000280,false,Rx,0,8,04,0F,F8,00,00,00,00,00,
12276711,00000288,false,Rx,0,5,06,10,FF,FF,FF,00,00,00,
12277711,00000288,false,Rx,0,4,08,00,00,00,00,00,00,00,
